Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-05-29,4.055,1.6203778524724346,1.6203778524724346,-0.03096946303887549,-0.1590000000000007,5,May,2,Q2,2014,Lluviosa
2014-05-30,3.983,1.6060321192992677,1.6060321192992675,-0.014345733173167119,-0.07199999999999962,5,May,2,Q2,2014,Lluviosa
2014-05-31,4.077,1.6247205359652572,1.6247205359652572,0.01868841666598975,0.09399999999999986,5,May,2,Q2,2014,Lluviosa
2014-06-01,3.976,1.6046263554368785,1.6046263554368783,-0.02009418052837897,-0.10099999999999998,6,Jun,2,Q2,2014,Lluviosa
2014-06-02,4.098,1.6288483059539236,1.6288483059539236,0.024221950517045343,0.12199999999999989,6,Jun,2,Q2,2014,Lluviosa
2014-06-03,4.574,1.7181129290597563,1.7181129290597563,0.08926462310583272,0.476,6,Jun,2,Q2,2014,Lluviosa
2014-06-04,6.449,2.00807979519414,2.0080797951941394,0.28996686613438305,1.875,6,Jun,2,Q2,2014,Lluviosa
2014-06-05,4.55,1.713797927758343,1.713797927758343,-0.2942818674357963,-1.899,6,Jun,2,Q2,2014,Lluviosa
2014-06-06,3.340392857142858,1.467964864094618,1.467964864094618,-0.24583306366372515,-1.2096071428571418,6,Jun,2,Q2,2014,Lluviosa
2014-06-07,3.103476190476191,1.4118344658230055,1.4118344658230055,-0.05613039827161237,-0.2369166666666671,6,Jun,2,Q2,2014,Lluviosa
2014-06-08,4.215,1.6515390884527357,1.6515390884527357,0.23970462262973014,1.111523809523809,6,Jun,2,Q2,2014,Lluviosa
2014-06-09,4.026,1.6146244391214004,1.6146244391214004,-0.03691464933133526,-0.18900000000000006,6,Jun,2,Q2,2014,Lluviosa
2014-06-10,4.311,1.669780141440262,1.669780141440262,0.05515570231886158,0.28500000000000014,6,Jun,2,Q2,2014,Lluviosa
2014-06-11,4.255,1.6591800043289144,1.6591800043289144,-0.010600137111347552,-0.05600000000000005,6,Jun,2,Q2,2014,Lluviosa
